street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
102 S Main St,135000,3,1,"1,428",$95 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1883,,,True,,,,
Lot 8 Rindge Tpke,35000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
19 Water St,309900,5,2,"2,404",$129 / Sq. Ft.,Single Family Attached,Worcester,Ashburnham,1856,,,True,,,,
Lot 619 Seneca Dr/West Shore Dr,17400,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
Lot 654 Gold Mine Rd,15900,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
Lot 2 Lakeshore Dr,58900,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
88 Main St,109900,9,4,"3,493",$31 / Sq. Ft.,4 Family,Worcester,Ashburnham,1900,True,,,,,,
25 Howes Ct #25,215900,2,2,"1,266",$171 / Sq. Ft.,Condominium,Worcester,Ashburnham,2016,,,,,,,
27 Howes Ct #27,224900,2,2,"1,266",$178 / Sq. Ft.,Condominium,Worcester,Ashburnham,2017,,,,,,,
14 Hilltop Dr Lot 6,45000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
0 Bluefield Rd,35000,—,—,—,Sq. Ft.,Residential,Worcester,North Ashburnham,,,,,,,,
47 Jewell Hill Rd,495000,5,3.5,"4,900",$101 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2004,,,True,,,,
Lot 1 Winchendon Rd,120000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
145 Tuckerman Rd,329900,3,2.5,"1,800",$183 / Sq. Ft.,Single Family Detached,Worcester,Sunset Lake Neighborhood,2017,,,,,True,,
20 Pearl Rd,58400,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
26 Pearl Rd,58400,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
100 Willard Rd,392000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
123 Willard Rd,399900,3,2.5,"2,367",$169 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2000,,,,,,,
6 Lakeshore Dr,465000,4,2.5,"3,559",$131 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2007,,,True,,,,
125 Tuckerman Rd,289900,3,2.5,"1,664",$174 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2001,True,,True,,True,,
57-58 Lot Mistletoe Dr,49900,—,—,—,Sq. Ft.,Residential,Worcester,North Ashburnham,,,,,,,,
56 Lot Mistletoe Dr,39900,—,—,—,Sq. Ft.,Residential,Worcester,North Ashburnham,,,,,,,,
2 Brogan Ln,55000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
0 Ashby Rd,37500,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
178 Ashby Rd,69000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
71 Old Ashby Rd,75000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
12 Brook Rd Lot 3,62000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
5 Pine Ave,169000,3,1,"1,800",$94 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1930,,,True,,,,
Lot 1 Lake Haven Ln,119900,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
Lot 0 Center St,9750,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,True,,,,,,
29 Howes Ct #29,216900,2,2,"1,266",$171 / Sq. Ft.,Condominium,Worcester,Ashburnham,2016,,,,,,,
13 Howes Ct #13,209900,2,2,"1,228",$171 / Sq. Ft.,Condominium,Worcester,Ashburnham,2016,,,True,,,,
0 (Lot 2) Gardner Rd,85000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
5 W Shore Dr L:581,16500,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
932 Turnpike Rd,72000,2,2,852,$85 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,1947,,,,,,,
151 Erickson Rd,25000,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
849 Piper Rd,219900,3,2,"2,342",$94 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,1907,True,,True,,True,,
394 Erickson Rd,350000,4,2.5,"2,432",$144 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,2003,,,True,,,True,
412 West Rd,405000,4,3.5,"2,812",$144 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,2002,True,,True,,True,,
70 Simonds Rd,849000,4,5,"4,808",$177 / Sq. Ft.,Farm,Middlesex,Ashby,1800,,,,,,,
465 Jewett Hill Rd,650000,3,3.5,"3,546",$183 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,2003,,,True,,,,
Lot J-1 Bennett Rd,26500,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
Lot 1 Valley Rd,62000,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
- Piper Rd,169900,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
"Lot 1,2&3 Wares Rd",49900,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
Lot 1 Allen Rd,89900,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
Lot 1 W State Rd,29900,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
Lot 2 W State Rd,29900,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
712 Foster Rd,229000,—,—,—,Sq. Ft.,Residential,Middlesex,Ashby,,,,,,,,
1051 West Rd,469000,3,2,"1,499",$313 / Sq. Ft.,Single Family Detached,Middlesex,Ashby,2003,,,True,,True,,
22 Robbins Rd,344800,3,2.5,"1,638",$211 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,1998,,,True,,,,
22 Forest St,144900,3,1,952,$152 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,1962,,,True,,,,
18 WESTFORD Rd #36,159900,2,1.5,"1,050",$152 / Sq. Ft.,Condominium,Middlesex,Ayer,1976,,,True,,,,
2 Longview Cir #80,399900,3,2.5,"2,032",$197 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,2008,,,True,,True,,
185 W Main St,125000,—,—,—,Sq. Ft.,Residential,Middlesex,Ayer,,,,,,,,
14 Turtle Hill Rd Unit B,414900,3,2.5,"2,400",$173 / Sq. Ft.,Condominium,Middlesex,Ayer,2007,,,True,,True,True,
Lot 4 Pheasant Cir,449900,4,2.5,"2,016",$223 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,2017,,,True,,,,
37 Longview Cir #87,414900,3,2.5,"2,121",$196 / Sq. Ft.,Condominium,Middlesex,Ayer,2017,,,True,,True,,
2 Pheasant Cir,449900,4,2.5,"2,219",$203 / Sq. Ft.,Single Family Detached,Middlesex,Pheasant Circle,2017,,,True,,True,,
3 Madigan Ln,594900,4,3,"3,193",$186 / Sq. Ft.,Single Family Attached,Middlesex,Ayer,2000,,,True,,True,,
0 Washington St,125000,—,—,—,Sq. Ft.,Residential,Middlesex,Ayer,,,,,,,,
41A Longview Cir #26,354900,3,2.5,"1,856",$191 / Sq. Ft.,Condominium,Middlesex,Ayer,2013,,,True,,True,,
21 Douglas Dr,359900,3,3,"1,736",$207 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,1983,,,True,,,True,
36C Longview Cir #58,384900,3,2.5,"1,856",$207 / Sq. Ft.,Condominium,Middlesex,Ayer,2017,,,,,True,,
Lot 12 Trevor Trl,165000,—,—,—,Sq. Ft.,Residential,Middlesex,Ayer,,,,,,,,
108 E Main #7,79900,2,1,584,$137 / Sq. Ft.,Condominium,Middlesex,Ayer,1972,True,,,,,,
25 Mulberry Cir,330000,3,1.5,"2,100",$157 / Sq. Ft.,Single Family Detached,Middlesex,Ayer,1994,,,,,,,
9 Shaker Rd,995000,3,1.5,"1,748",$569 / Sq. Ft.,Single Family Attached,Middlesex,Ayer,1965,,,,,,,
0 Washington,80000,—,—,—,Sq. Ft.,Residential,Middlesex,Ayer,,,,,,,,
25 Groton School Rd #26,89000,2,1,924,$96 / Sq. Ft.,,Middlesex,Hillside Motor Court,2016,,,True,,,,
18 Chance St Unit A,364000,2,2.5,"1,320",$276 / Sq. Ft.,Single Family Attached,Middlesex,Emerson Green,2015,,,,,,,
115 Grant Rd,487500,3,2.5,"1,777",$274 / Sq. Ft.,Single Family Detached,Worcester,Emerson Green,2017,,,True,,,,
114B Grant Rd Unit B,385000,2,2.5,"1,396",$276 / Sq. Ft.,Condominium,Worcester,Devens,2017,,,,,,,
112 Grant Rd,497500,3,2.5,"1,897",$262 / Sq. Ft.,Single Family Detached,Worcester,Emerson Green,2017,,,,,,,
113 Grant Rd,497500,3,2.5,"1,928",$258 / Sq. Ft.,Single Family Detached,Worcester,Emerson Green,2017,,,,,,,
104 Grant Rd Unit A,439500,3,2.5,"1,689",$260 / Sq. Ft.,Condominium,Worcester,Devens,2017,,,,,,,
104 Grant Rd Unit B,359000,2,2.5,"1,400",$256 / Sq. Ft.,Condominium,Worcester,Devens,2017,,,,,,,
0 Barnum,275000,—,—,—,Sq. Ft.,Commercial,Worcester,Devens,,,,,,,,
4 Claire Ave,180000,2,1,"1,026",$175 / Sq. Ft.,Single Family Detached,Worcester,Templeton,1951,,,,,,,
21 Circle St,179888,3,2,"2,010",$89 / Sq. Ft.,2 Units Up/Down,Worcester,Templeton,1887,,,True,,,,
22 River Rd,157900,3,1,"1,213",$130 / Sq. Ft.,Single Family Detached,Worcester,Otter River - Baldwinville,1900,,,True,,,,
724 Baldwinville Rd,76900,3,1.5,"1,504",$51 / Sq. Ft.,Single Family Detached,Worcester,Templeton,1887,,,True,,True,,
"0 King Phillip Trail, Lot 2",25000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
"0 King Phillip Trail, Lot 3",25000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 18 Michaels Ln,65000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 21 Michaels Ln,65000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 3 Michaels Ln,60000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 5 Michaels Ln,60000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 9 Michaels Ln,60000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
Lot 12 Michaels Ln,60000,—,—,—,Sq. Ft.,Residential,Worcester,Templeton,,,,,,,,
27 Baker Ln,137500,2,1,"1,216",$113 / Sq. Ft.,Single Family Detached,Worcester,Templeton,1944,True,,True,,True,,
Lot 58 Brookside Dr,235000,3,2.5,"1,536",$153 / Sq. Ft.,Single Family Detached,Worcester,Gardner,2017,,,True,,,,
381 Pearl St,182500,3,1.5,"1,152",$158 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1960,,,,,,,
73 Century Way Unit B16-3,129900,2,1.5,"1,195",$109 / Sq. Ft.,Condominium,Worcester,Gardner,1988,,,True,,True,,
30 Fieldstone Dr,264900,3,2.5,"1,808",$147 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1999,,,True,,True,,
118 Emerald St,62000,4,2,"1,613",$38 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
60 Robillard St,189900,3,2,"1,720",$110 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1921,,,,,,True,
Lot 28 Brookside Dr,262000,3,2.5,"1,712",$153 / Sq. Ft.,Single Family Detached,Worcester,Gardner,2017,,,True,,,,
65 Ashley Dr,299900,3,3,"2,412",$124 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1992,,,True,,,,
795 Pearl St,219900,3,1,996,$221 / Sq. Ft.,Single Family Detached,Worcester,Gardner,2011,,,True,,,,
19 Jonathan St,214900,3,1.5,"1,267",$170 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1941,,,,,,,
347 Pine St,159900,4,2,"1,514",$106 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1920,True,,,,,,
5R Moran St,58400,2,1,"1,198",$49 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
57 Clairmont,49900,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
269 Elm St,194900,3,1,"1,289",$151 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1882,,,True,,,,
322 Leo Dr,200000,4,2,"1,632",$123 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1991,,,,,,,
11-13 Lincoln St,139000,3,2,"2,710",$51 / Sq. Ft.,2 Family,Worcester,Gardner,1910,,,,,,,
66 Euclid St,179900,3,1,"1,183",$152 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1930,,,True,,,,
76 Cross St,264900,5,2.5,"2,389",$111 / Sq. Ft.,Single Family Detached,Worcester,Elm,1875,,,True,,,,
33 Deer Hill Rd,274500,3,2.5,"1,868",$147 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1988,,,True,,True,,
79 Lennon St,70000,2,1,"1,031",$68 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,,,,,
149 Temple St,104900,3,1,"1,193",$88 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,True,,,,
lot 21 Ruby,162980,3,2,"1,359",$120 / Sq. Ft.,Single Family Detached,Worcester,Sapphire Park,2015,,,True,,,,
61 Ash St,99900,4,2.5,"1,620",$62 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1900,True,,True,,,,
24 Suomi Rd,209900,3,2,"1,500",$140 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1997,,,True,,True,,
88-90 Greenwood St,155000,8,4,"2,320",$67 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1900,,,,,True,,
56 Draper Rd,249900,3,1.5,"1,309",$191 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1910,,,True,,,,
43 Temple St,215000,3,1.5,"2,004",$107 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1920,,,,,,,
29 W End Ave,249000,4,2.5,"2,250",$111 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1987,,,True,,,,
81 Green St,129900,2,1,775,$168 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1949,,,,,,,
145 Sawyer St,345000,4,2.5,"2,246",$154 / Sq. Ft.,Single Family Detached,Worcester,South Gardner,1999,,,True,,,,
113 Ash St,124900,3,2.5,"2,499",$50 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
219 Bickford Hill Rd,279000,5,2.5,"2,436",$115 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1971,,,True,,,,
lot 24 Opal,149900,3,2,"1,369",$109 / Sq. Ft.,Single Family Detached,Worcester,Sapphire Park,2017,,,,,,,
109 Monadnock St,149900,2,1.5,"1,382",$108 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1949,,,True,,,True,
49 Howard St,140502,3,1,"1,008",$139 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1987,,,,,,,
108 Rosewood Dr,99900,3,2,"1,344",$74 / Sq. Ft.,,Worcester,Gardner,1989,,,True,,True,,
155 Century Way,209900,3,1.5,"1,400",$150 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1995,,,True,,,,
217-219 Park St,164900,7,2,"2,753",$60 / Sq. Ft.,2 Family,Worcester,Gardner,1920,,,,,,,
93 JACKSON HILL Rd,234000,4,3.5,"2,200",$106 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1963,,,True,,,,
223 Pleasant St,149000,3,2,"4,328",$34 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,True,,,True,
36 Wickman Dr,97500,3,1,"1,188",$82 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,,,,,
19 Tracey St,149000,4,2,"1,828",$82 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1920,,,True,,,,
4 Stuart St,59900,6,4,"1,971",$30 / Sq. Ft.,3 Units Up/Down,Worcester,Gardner,1900,,,,,,,
278 S Main St,95386,6,2.5,"2,844",$34 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1870,,,,,,,
19 Lincoln St,100000,5,2,"2,140",$47 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1880,,,True,,,,
231-233 Pleasant St,270000,3,2,"3,444",$78 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
Lot 1 Saunders St,85000,—,—,—,Sq. Ft.,Residential,Worcester,East Gardner,,,,,,,,
lot 27 Opal,171000,3,2,"1,158",$148 / Sq. Ft.,Single Family Detached,Worcester,Sapphire Park,2016,,,,,,,
86 Stone St,129900,3,1,"1,200",$108 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1955,,,,,,,
79 Oak St,219900,6,6,"5,395",$41 / Sq. Ft.,5-9 Family,Worcester,Gardner,1900,True,,,,,,
118 Emerald St,62000,4,2,"1,613",$38 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
60 Robillard St,189900,3,2,"1,720",$110 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1921,,,,,,True,
65 Ashley Dr,299900,3,3,"2,412",$124 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1992,,,True,,,,
19 Jonathan St,214900,3,1.5,"1,267",$170 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1941,,,,,,,
347 Pine St,159900,4,2,"1,514",$106 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1920,True,,,,,,
5R Moran St,58400,2,1,"1,198",$49 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
269 Elm St,194900,3,1,"1,289",$151 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1882,,,True,,,,
11-13 Lincoln St,139000,3,2,"2,710",$51 / Sq. Ft.,2 Family,Worcester,Gardner,1910,,,,,,,
66 Euclid St,179900,3,1,"1,183",$152 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1930,,,True,,,,
76 Cross St,264900,5,2.5,"2,389",$111 / Sq. Ft.,Single Family Detached,Worcester,Elm,1875,,,True,,,,
79 Lennon St,70000,2,1,"1,031",$68 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,,,,,
149 Temple St,104900,3,1,"1,193",$88 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,True,,,,
61 Ash St,99900,4,2.5,"1,620",$62 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1900,True,,True,,,,
24 Suomi Rd,209900,3,2,"1,500",$140 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1997,,,True,,True,,
88-90 Greenwood St,155000,8,4,"2,320",$67 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1900,,,,,True,,
56 Draper Rd,249900,3,1.5,"1,309",$191 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1910,,,True,,,,
43 Temple St,215000,3,1.5,"2,004",$107 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1920,,,,,,,
29 W End Ave,249000,4,2.5,"2,250",$111 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1987,,,True,,,,
81 Green St,129900,2,1,775,$168 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1949,,,,,,,
113 Ash St,124900,3,2.5,"2,499",$50 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
219 Bickford Hill Rd,279000,5,2.5,"2,436",$115 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1971,,,True,,,,
109 Monadnock St,149900,2,1.5,"1,382",$108 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1949,,,True,,,True,
108 Rosewood Dr,99900,3,2,"1,344",$74 / Sq. Ft.,,Worcester,Gardner,1989,,,True,,True,,
217-219 Park St,164900,7,2,"2,753",$60 / Sq. Ft.,2 Family,Worcester,Gardner,1920,,,,,,,
93 JACKSON HILL Rd,234000,4,3.5,"2,200",$106 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1963,,,True,,,,
223 Pleasant St,149000,3,2,"4,328",$34 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,True,,,True,
36 Wickman Dr,97500,3,1,"1,188",$82 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1940,,,,,,,
19 Tracey St,149000,4,2,"1,828",$82 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1920,,,True,,,,
4 Stuart St,59900,6,4,"1,971",$30 / Sq. Ft.,3 Units Up/Down,Worcester,Gardner,1900,,,,,,,
278 S Main St,95386,6,2.5,"2,844",$34 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1870,,,,,,,
19 Lincoln St,100000,5,2,"2,140",$47 / Sq. Ft.,2 Units Up/Down,Worcester,Gardner,1880,,,True,,,,
231-233 Pleasant St,270000,3,2,"3,444",$78 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
Lot 1 Saunders St,85000,—,—,—,Sq. Ft.,Residential,Worcester,East Gardner,,,,,,,,
79 Oak St,219900,6,6,"5,395",$41 / Sq. Ft.,5-9 Family,Worcester,Gardner,1900,True,,,,,,
163 Pearson Blvd,139900,—,—,—,Sq. Ft.,Commercial,Worcester,Gardner,,,,,,,,
154-156 Sherman St,119900,5,3,"1,998",$60 / Sq. Ft.,3 Units Up/Down,Worcester,Gardner,1920,,,True,,,,
16 Douglas Rd,165000,3,2,"1,263",$131 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1920,,,,,,,
0 Mechanic St,189975,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
Lot B Conant St,44975,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
25 Wickman Dr,60000,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
400 Pleasant St,219000,3,2,"1,976",$111 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1969,True,,True,,,,
Parcel 2 Highfield Rd,23000,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
Parcel 1 Highfield Rd,23000,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
Lot 1 Highfield Rd,45000,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
525 parker St,600000,—,—,—,Sq. Ft.,Commercial,Worcester,Gardner,,,,,,,,
514-516 Parker St,399900,5,3.5,"2,600",$154 / Sq. Ft.,2 Family,Worcester,Gardner,2007,,,,,,,
0 Derby Dr,750000,—,—,—,Sq. Ft.,Commercial,Worcester,Gardner,,,,,,,,
00 Matthews St,1000000,—,—,—,Sq. Ft.,Commercial,Worcester,Gardner,,,,,,,,
OFF Leo Dr,40000,—,—,—,Sq. Ft.,Residential,Worcester,Gardner,,,,,,,,
209 Lawrence,139900,7,3,"6,512",$21 / Sq. Ft.,Single Family Detached,Worcester,Gardner,1900,,,,,,,
41 Drumlin Hill Rd,569900,3,2.5,"2,640",$216 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2015,,,True,,,,
21 Rockwood Ln,529500,4,2.5,"3,243",$163 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1999,,,True,,,,
179 Mill St,664000,3,2.5,"3,411",$195 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1920,,,,,,True,
52 School House Rd,515000,5,3.5,"2,672",$193 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1970,,,,,,True,
31 Fir Rd,359500,3,2.5,"2,596",$138 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1985,,,,,,,
169 Nashua Rd,459900,4,1.5,"2,442",$188 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1961,,,True,,,,
Lot 9 Cherry Tree Ln,595900,4,2.5,"2,711",$220 / Sq. Ft.,Single Family Detached,Middlesex,Academy Hill,2017,,,,,,,
41 W Main St,298000,3,1,"1,454",$205 / Sq. Ft.,Single Family Detached,Middlesex,West Groton,1870,,,True,,,,
53 Burntmeadow Rd,1400000,5,4.5,"6,322",$221 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2009,,,True,,,True,
34 Nashua Rd,669000,4,2.5,"4,054",$165 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1994,,,True,,,,
48 Arbor Way,719900,4,3,"3,265",$220 / Sq. Ft.,Single Family Detached,Middlesex,Academy Hill,2010,,,True,,,,
Lot 2 Old Dunstable Rd,629900,4,2.5,"2,891",$218 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2017,,,True,,True,,
15 Forest Dr,749000,4,2.5,"3,340",$224 / Sq. Ft.,Single Family Detached,Middlesex,Groton Woods,2011,,,True,,,,
65 Gay Rd,315000,4,3,"3,379",$93 / Sq. Ft.,Single Family Detached,Middlesex,East Groton,1974,,,True,,,True,
15 Tavern Rd,369999,3,2,"1,848",$200 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2004,,,True,,True,,
216 Longley Rd,949999,4,2.5,"3,900",$244 / Sq. Ft.,Equestrian,Middlesex,Groton,2004,,,True,,,,
Lot 18 Cherry Tree Ln,617900,4,2.5,"2,880",$215 / Sq. Ft.,Single Family Detached,Middlesex,Academy Hill,2016,,,,,,,
19A Blacksmith Row Unit 19A,669900,2,2.5,"2,149",$312 / Sq. Ft.,Single Family Attached,Middlesex,The Residences at Boynton Meadows,2014,,,True,,True,,
21B Rosecrest Cir Unit 21B,404900,2,2.5,"1,943",$208 / Sq. Ft.,Condominium,Middlesex,Groton,2016,,,,,,,
213 Pepperell Rd,684900,4,2.5,"3,100",$221 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2017,,,,,,,
162 Martins Pond Rd,2100000,3,1,"1,569",$1338 / Sq. Ft.,Farm,Middlesex,Groton,1892,,,,,,,
1 Wildflower Ln,825000,5,4,"4,640",$178 / Sq. Ft.,Single Family Detached,Middlesex,Woodland Park,2002,,,True,,True,,
13 SKYFIELDS Dr,450000,4,1.5,"2,002",$225 / Sq. Ft.,Single Family Detached,Middlesex,East Groton,1966,True,,True,,,True,
63 McLains Woods,529900,4,2.5,"2,826",$188 / Sq. Ft.,Single Family Detached,Middlesex,McLains Woods,1991,,,True,,,,
102 Townsend,130000,2,1,896,$145 / Sq. Ft.,Single Family Detached,Middlesex,Groton,1690,,,,,,,
lot 22 Mockingbird Hill Rd,839000,4,2.5,"3,550",$236 / Sq. Ft.,Single Family Detached,Middlesex,Robin Hill Estates,2016,,,True,,True,,
28 Deerfield Dr,609900,4,2.5,"2,783",$219 / Sq. Ft.,Single Family Detached,Middlesex,Deerhaven,1998,,,True,,True,,
68 Common St #1,259000,1,1,"1,265",$205 / Sq. Ft.,Single Family Attached,Middlesex,Groton,1965,,,True,,,,
90 North St,689500,3,3,"4,242",$163 / Sq. Ft.,Single Family Detached,Middlesex,Groton,2003,,,True,,,,
68 Common St #2,259000,2,1,"1,000",$259 / Sq. Ft.,Single Family Attached,Middlesex,Groton,1965,,,True,,True,,
Lot 25 Mockingbird Hill Rd,749000,4,2.5,"3,332",$225 / Sq. Ft.,Single Family Detached,Middlesex,Robin Hill Estates,2017,,,,,,,
12 Arbor Way,799900,4,4.5,"4,804",$167 / Sq. Ft.,Single Family Detached,Middlesex,Academy Hill,2011,,,True,,,True,
55 Raddin Rd,549929,3,1.5,"1,728",$318 / Sq. Ft.,Single Family Attached,Middlesex,Groton,1978,,,True,,,True,
